"No.","Time","Source","Destination","Protocol","Length","Info"
"122","10.791890105","192.168.56.101","192.168.56.102","TCP","60","3  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"123","10.792178799","192.168.56.101","192.168.56.102","TCP","60","1051  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"124","10.792343273","192.168.56.101","192.168.56.102","TCP","60","2035  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"125","10.792580988","192.168.56.101","192.168.56.102","TCP","60","1186  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"126","10.792581093","192.168.56.101","192.168.56.102","TCP","60","24800  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"127","10.793080739","192.168.56.101","192.168.56.102","TCP","60","32783  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"128","10.793080959","192.168.56.101","192.168.56.102","TCP","60","20828  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"129","10.793702694","192.168.56.101","192.168.56.102","TCP","60","32771  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"130","10.793702887","192.168.56.101","192.168.56.102","TCP","60","62078  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"131","10.793702945","192.168.56.101","192.168.56.102","TCP","60","9099  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"132","10.794193037","192.168.56.101","192.168.56.102","TCP","60","2144  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"133","10.794193235","192.168.56.101","192.168.56.102","TCP","60","3971  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"134","10.794384428","192.168.56.101","192.168.56.102","TCP","60","1048  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"135","10.794519780","192.168.56.101","192.168.56.102","TCP","60","34571  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"136","10.795148650","192.168.56.101","192.168.56.102","TCP","60","524  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"137","10.795148903","192.168.56.101","192.168.56.102","TCP","60","4550  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"138","10.795511284","192.168.56.101","192.168.56.102","TCP","60","7002  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"139","10.795727438","192.168.56.101","192.168.56.102","TCP","60","5678  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"140","10.796069234","192.168.56.101","192.168.56.102","TCP","60","1688  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"141","10.796069350","192.168.56.101","192.168.56.102","TCP","60","1049  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"142","10.796246300","192.168.56.101","192.168.56.102","TCP","60","17877  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"143","10.796411284","192.168.56.101","192.168.56.102","TCP","60","3527  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"144","10.796540181","192.168.56.101","192.168.56.102","TCP","60","1038  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"145","10.796729523","192.168.56.101","192.168.56.102","TCP","60","79  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
